Refer to https://github.com/lutherastrophysics/new_ref_file for more info
Star Data Extractor Tool
    Images: m23_3.5_071.fit (2003) and m23_7.0_2022-06-19_0028.fit
    Stars Found: 2508 (good stars) in 2003 img + 1246 in 2022
    Radius of star diaphragm:
    Sky annulus inner radius:
    Sky annulus outer radius:
    Threshold factor: High =
         X	         Y	     Sigma	      FWHM	   Sky ADU	  Star ADU
    158.35	    244.11	      1.82	      4.29	    728.10	  10676.20
     88.20	    576.42	      2.01	      4.73	    705.80	  10643.10
     42.11	    488.75	      2.05	      4.81	    721.00	  10636.70
    900.23	    139.14	      1.27	      2.98	    701.40	  10570.80
     42.17	    488.76	      2.07	      4.87	    721.10	  10523.70
    244.54	    748.34	      1.72	      4.05	    713.90	  10507.60
    931.57	    253.19	      1.50	      3.52	    701.90	  10503.00
    927.00	    959.92	      1.48	      3.47	    687.10	  10467.20
    415.77	    542.05	      1.61	      3.79	    738.10	  10401.30
    367.33	    704.96	      1.60	      3.77	    724.30	  10394.10
    665.07	    626.05	      1.25	      2.95	    725.00	  10388.50
    900.10	    139.24	      1.34	      3.15	    701.40	  10361.80
    331.48	    301.62	      1.62	      3.80	    735.90	  10329.00
    587.97	    315.55	      1.30	      3.06	    727.50	  10242.70
    394.56	    612.51	      1.62	      3.81	    726.90	  10237.00
     42.09	    488.96	      1.95	      4.57	    721.30	  10234.30
    585.60	    829.60	      1.59	      3.74	    719.50	  10149.00
    643.23	    566.12	      1.63	      3.84	    731.10	  10052.50
    621.50	    695.94	      1.53	      3.60	    735.50	  10047.00
    246.63	    885.92	      1.83	      4.31	    708.40	  10045.10
    878.81	    829.13	      1.43	      3.36	    704.60	   9995.70
    214.97	    135.72	      1.81	      4.25	    720.40	   9937.70
    961.48	    901.87	      1.70	      3.99	    694.80	   9849.50
    350.48	    794.53	      1.89	      4.45	    708.60	   9816.30
    155.61	    254.60	      1.75	      4.10	    727.00	   9794.90
    133.35	    388.98	      1.82	      4.27	    723.90	   9791.00
    315.74	    379.57	      1.54	      3.62	    741.90	   9766.00
    696.59	    335.67	      1.54	      3.63	    722.50	   9700.80
    642.82	    944.80	      1.69	      3.98	    703.10	   9661.10
    616.53	    857.43	      1.73	      4.07	    713.40	   9624.80
    607.44	    323.10	      2.12	      4.99	    731.00	   9618.30
    593.96	     66.67	      1.56	      3.67	    709.60	   9591.80
    213.46	    893.87	      2.02	      4.74	    704.40	   9575.60
    273.33	    777.91	      1.80	      4.23	    716.50	   9517.90
    924.39	    300.86	      1.31	      3.07	    709.00	   9497.90
    966.36	    521.15	      1.34	      3.14	    701.70	   9391.90
    377.05	    598.97	      1.45	      3.41	    732.40	   9368.90
    568.51	    924.08	      1.75	      4.11	    705.70	   9361.70
    156.24	    867.28	      2.14	      5.02	    704.30	   9295.00
    874.17	    147.22	      1.47	      3.47	    702.60	   9294.80
    365.74	    453.02	      1.46	      3.42	    754.40	   9277.50
    568.38	    924.04	      1.76	      4.13	    705.80	   9215.80
     33.18	    526.13	      2.01	      4.73	    705.90	   9204.60
    740.55	    911.25	      1.58	      3.71	    701.20	   9137.80
    769.47	    562.82	      1.34	      3.14	    718.70	   9099.50
    328.60	    519.94	      1.63	      3.83	    742.10	   9071.00
    593.03	    472.03	      1.31	      3.07	    739.70	   9005.30
    873.35	    260.23	      1.53	      3.59	    705.20	   8969.40
    356.04	    332.35	      1.62	      3.80	    738.70	   8951.90
    929.61	    796.04	      1.87	      4.40	    711.20	   8923.10
     93.33	     79.70	      1.71	      4.03	    712.60	   8878.60
    739.53	    412.88	      1.28	      3.01	    721.10	   8875.50
    312.83	    937.04	      2.04	      4.79	    704.60	   8862.60
    385.94	    649.65	      1.77	      4.16	    734.80	   8818.40
    316.05	    328.07	      1.45	      3.41	    738.50	   8807.40
    929.59	    796.52	      1.91	      4.49	    711.30	   8806.90
    789.10	    299.69	      1.27	      2.98	    714.90	   8792.80
    677.53	    379.18	      1.75	      4.11	    729.20	   8771.80
    455.88	    104.18	      1.64	      3.86	    711.40	   8653.50
    335.65	    521.52	      1.57	      3.70	    739.60	   8632.90
    794.09	    600.33	      1.38	      3.25	    727.60	   8623.40
    227.75	    377.58	      1.59	      3.73	    735.50	   8593.90
    957.29	    133.05	      1.44	      3.39	    705.20	   8542.10
    473.09	    832.43	      1.73	      4.07	    716.60	   8507.70
    301.53	    336.47	      1.76	      4.13	    736.00	   8506.50
    313.43	    937.38	      2.16	      5.07	    705.20	   8504.00
     38.07	    559.52	      1.97	      4.64	    706.50	   8498.60
    313.47	    937.49	      2.17	      5.10	    705.60	   8486.90
    482.61	    693.62	      1.61	      3.78	    724.40	   8424.00
    877.40	     73.55	      1.45	      3.41	    699.10	   8419.20
    666.28	    518.88	      1.33	      3.13	    726.80	   8407.90
    105.55	    732.96	      2.06	      4.84	    716.70	   8405.10
    677.54	    379.40	      1.83	      4.30	    729.50	   8401.20
    105.34	    733.24	      1.99	      4.67	    717.20	   8395.30
    797.50	     90.61	      1.52	      3.57	    704.40	   8375.80
    697.05	    219.73	      1.47	      3.46	    716.90	   8364.50
     93.96	     79.64	      1.83	      4.30	    713.60	   8339.10
    207.95	    858.33	      1.78	      4.18	    715.60	   8259.90
    839.07	    103.62	      1.33	      3.12	    703.30	   8176.60
    819.18	    939.56	      1.64	      3.85	    699.70	   8093.50
     47.19	     36.48	      1.84	      4.32	    699.10	   8029.00
    477.05	    730.27	      2.85	      6.69	    728.40	   7998.30
    459.96	    170.57	      1.52	      3.57	    716.20	   7992.30
    819.41	    939.46	      1.62	      3.81	    699.80	   7979.00
    198.12	    521.68	      2.08	      4.89	    718.90	   7966.40
    690.19	     56.92	      1.41	      3.32	    710.90	   7932.90
    929.97	    790.47	      2.43	      5.70	    710.40	   7906.50
     55.25	     15.46	      1.81	      4.26	    698.00	   7903.80
